               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095386,            0.057146,            0.043184,                   0,                   0,                   0,                   0,            0.061926,            0.035693,            0.031554,              0.0982,              0.0002,              0.0002
                   1,             0.10615,            0.056555,            0.046876,                   0,                   0,                   0,                   0,            0.060739,            0.035382,            0.030537,             0.09549,           0.0004901,           0.0004901
                   2,             0.09278,             0.05526,            0.042135,                   0,                   0,                   0,                   0,            0.059453,            0.034875,            0.029111,            0.092768,          0.00076832,          0.00076832
                   3,            0.091875,             0.05984,            0.040877,                   0,                   0,                   0,                   0,            0.057924,            0.034707,            0.027583,            0.090035,           0.0010347,           0.0010347
                   4,             0.11178,            0.058911,            0.045649,                   0,                   0,                   0,                   0,            0.056618,            0.034735,             0.02612,            0.087289,           0.0012891,           0.0012891
                   5,            0.097664,            0.064489,            0.041489,                   0,                   0,                   0,                   0,            0.056068,             0.03437,             0.02455,            0.084532,           0.0015317,           0.0015317
                   6,            0.083437,            0.061478,            0.036184,                   0,                   0,                   0,                   0,             0.05594,            0.033408,            0.022753,            0.081762,           0.0017624,           0.0017624
                   7,            0.091396,            0.064575,            0.038905,                   0,                   0,                   0,                   0,            0.055281,             0.03283,            0.020892,            0.078981,           0.0019812,           0.0019812
                   8,            0.079555,             0.06348,            0.032707,                   0,                   0,                   0,                   0,            0.054439,            0.032729,            0.018964,            0.076188,           0.0021882,           0.0021882
                   9,            0.087599,             0.06511,            0.033113,           0.0027875,                0.02,           0.0019192,          0.00050053,            0.053274,            0.033249,            0.017116,            0.073383,           0.0023832,           0.0023832
                  10,            0.085897,            0.065006,            0.032937,             0.83851,               0.005,            0.004473,           0.0016722,            0.051586,            0.034475,            0.015372,            0.070566,           0.0025664,           0.0025664
                  11,            0.072904,            0.065555,            0.027541,               0.821,                0.01,           0.0037438,          0.00064049,            0.050294,            0.036116,            0.013882,            0.067738,           0.0027377,           0.0027377
                  12,            0.072003,            0.060844,            0.026259,             0.61963,               0.015,            0.004969,           0.0009358,            0.048252,              0.0403,            0.012433,            0.064897,           0.0028971,           0.0028971
                  13,             0.08932,            0.062839,            0.028913,             0.62881,                0.02,           0.0060344,           0.0011883,            0.046488,            0.047842,            0.011519,            0.062045,           0.0030447,           0.0030447
                  14,             0.07759,            0.068166,              0.0281,           0.0047573,                0.02,            0.001889,          0.00051735,            0.049055,            0.049041,            0.010723,             0.05918,           0.0031803,           0.0031803
                  15,            0.068111,            0.069948,            0.023664,             0.82518,               0.025,           0.0062074,           0.0013991,            0.044416,            0.041762,            0.010115,            0.056304,           0.0033041,           0.0033041
                  16,            0.086388,            0.067147,            0.026595,             0.62216,               0.015,           0.0040412,           0.0010413,            0.046148,            0.042634,           0.0098411,            0.053416,            0.003416,            0.003416
                  17,            0.066102,            0.065283,            0.020771,              0.8199,                0.01,           0.0031798,          0.00096845,            0.053426,            0.038122,           0.0097376,            0.050516,            0.003516,            0.003516
                  18,            0.080564,            0.060251,            0.021418,             0.62046,                0.03,           0.0059581,           0.0017121,            0.043914,            0.038192,           0.0096214,            0.047604,           0.0036042,           0.0036042
                  19,            0.075013,            0.063926,            0.022727,             0.60946,               0.025,           0.0031393,           0.0012208,            0.051531,            0.036051,           0.0095054,             0.04468,           0.0036804,           0.0036804
                  20,            0.077435,            0.063425,            0.022753,             0.85359,                0.02,            0.013174,           0.0025419,            0.043241,            0.037255,           0.0093479,            0.041745,           0.0037448,           0.0037448
                  21,            0.062712,            0.066036,            0.020004,             0.82442,               0.025,            0.011025,           0.0045596,            0.042782,            0.038206,           0.0091293,            0.038797,           0.0037973,           0.0037973
