               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050527,            0.021388,           0.0078993,            0.021088,             0.18857,             0.12274,            0.026418,            0.050693,            0.015822,           0.0069463,             0.17741,            0.000167,            0.000167
                   1,            0.050013,             0.02493,           0.0083681,            0.016739,             0.22357,            0.075987,            0.024903,             0.04889,            0.014485,           0.0071091,             0.16641,          0.00036116,          0.00036116
                   2,            0.048417,            0.023477,             0.00792,             0.84691,                0.04,            0.054096,            0.018827,            0.047533,            0.016701,           0.0068603,              0.1554,          0.00054853,          0.00054853
                   3,            0.047781,            0.035676,           0.0087693,             0.62217,                0.07,             0.13515,            0.082032,            0.045873,            0.016658,            0.007012,             0.14439,          0.00072908,          0.00072908
                   4,             0.04652,             0.04021,           0.0086069,             0.85919,               0.055,            0.053916,            0.019662,            0.043861,            0.016831,           0.0068554,             0.13337,          0.00090284,          0.00090284
                   5,            0.045286,            0.025452,           0.0079419,             0.94809,            0.071372,             0.10143,            0.037658,            0.042601,            0.016934,           0.0069943,             0.12234,           0.0010698,           0.0010698
                   6,            0.043826,            0.025136,           0.0083604,             0.95239,                0.06,            0.094437,            0.033614,            0.041697,            0.017799,           0.0068253,             0.11131,           0.0012299,           0.0012299
                   7,            0.044479,            0.027626,            0.009024,             0.93995,            0.069922,               0.102,            0.039724,            0.040865,            0.018241,           0.0068602,             0.10027,           0.0013833,           0.0013833
                   8,            0.042309,              0.0264,           0.0082888,             0.92502,               0.075,             0.14013,            0.049283,            0.040453,            0.018371,           0.0069688,            0.089218,           0.0015298,           0.0015298
                   9,            0.040929,             0.02469,           0.0074524,             0.89986,            0.094739,             0.13021,            0.042919,            0.040041,            0.018631,           0.0068841,            0.078163,           0.0016696,           0.0016696
                  10,            0.041054,            0.030084,           0.0077743,              0.9308,               0.085,             0.11263,            0.039021,            0.040417,            0.018735,           0.0071577,            0.067102,           0.0018025,           0.0018025
                  11,            0.041869,            0.029112,           0.0082105,             0.92201,                0.08,             0.10764,            0.039662,            0.040033,            0.018703,           0.0070793,            0.056034,           0.0019287,           0.0019287
                  12,            0.041696,            0.028588,           0.0082972,             0.90925,                0.08,             0.10494,            0.040711,            0.039718,            0.018733,           0.0069187,            0.044959,            0.002048,            0.002048
                  13,            0.040105,              0.0292,           0.0080649,             0.88977,                0.09,            0.095068,            0.034489,            0.039422,            0.018563,           0.0067355,            0.033877,           0.0021605,           0.0021605
                  14,            0.041702,             0.03241,           0.0081786,             0.91863,                0.08,             0.10874,            0.036027,             0.03934,            0.018469,            0.006797,            0.022789,           0.0022662,           0.0022662
                  15,            0.040125,            0.032333,           0.0080957,             0.94031,                 0.1,             0.15778,            0.051545,            0.039308,            0.018293,           0.0068766,            0.011694,           0.0023652,           0.0023652
                  16,            0.039305,            0.030264,           0.0079461,                0.92,            0.082543,             0.11664,            0.036488,            0.039249,            0.018572,           0.0067216,            0.002433,            0.002433,            0.002433
                  17,            0.039157,            0.030473,           0.0072869,             0.90737,            0.081173,             0.10745,            0.031586,            0.039042,            0.018671,           0.0067329,            0.002433,            0.002433,            0.002433
                  18,            0.040055,            0.032489,           0.0084882,             0.90855,               0.115,             0.15436,            0.051485,            0.039291,            0.018641,           0.0069209,           0.0023763,           0.0023763,           0.0023763
                  19,             0.04075,            0.036702,           0.0083678,             0.92771,               0.065,            0.089435,            0.034986,            0.038886,            0.018525,           0.0066117,           0.0023196,           0.0023196,           0.0023196
                  20,            0.040621,            0.028918,           0.0091113,             0.93816,            0.078251,             0.10096,            0.036146,            0.038755,            0.018494,           0.0065565,           0.0022629,           0.0022629,           0.0022629
                  21,            0.039615,            0.036939,           0.0075134,             0.93124,                0.08,             0.11558,            0.033353,            0.038858,            0.018425,           0.0065794,           0.0022062,           0.0022062,           0.0022062
                  22,            0.041913,            0.030687,           0.0086181,             0.93967,               0.095,             0.14018,            0.043009,            0.038596,            0.018621,           0.0065497,           0.0021495,           0.0021495,           0.0021495
                  23,            0.039456,            0.034712,           0.0083493,             0.93334,               0.085,             0.14278,            0.041775,            0.038519,            0.018841,            0.006524,           0.0020928,           0.0020928,           0.0020928
                  24,            0.039864,            0.030542,           0.0071618,             0.93889,                0.08,             0.10972,            0.038199,            0.038528,            0.018446,           0.0065118,           0.0020361,           0.0020361,           0.0020361
                  25,            0.040115,            0.039059,           0.0079187,             0.93377,                0.08,              0.1187,            0.041005,            0.038411,            0.018503,           0.0065672,           0.0019794,           0.0019794,           0.0019794
                  26,              0.0391,            0.028094,           0.0080375,             0.95392,                0.08,              0.1238,            0.040158,            0.038434,             0.01843,           0.0066071,           0.0019228,           0.0019228,           0.0019228
                  27,            0.040403,            0.029453,           0.0076948,              0.9674,             0.10275,              0.1494,            0.046517,            0.038746,            0.018432,           0.0065657,           0.0018661,           0.0018661,           0.0018661
                  28,            0.040188,            0.028488,           0.0080252,             0.95119,               0.105,             0.13667,            0.046888,            0.038518,            0.018519,            0.006641,           0.0018094,           0.0018094,           0.0018094
                  29,            0.037969,            0.037233,           0.0075022,             0.95398,               0.095,             0.13124,            0.033272,            0.039052,            0.018237,           0.0066621,           0.0017527,           0.0017527,           0.0017527
                  30,             0.03943,            0.029045,            0.007784,             0.96826,               0.105,             0.13748,            0.044516,             0.03862,             0.01831,           0.0066271,            0.001696,            0.001696,            0.001696
                  31,            0.040778,            0.032381,           0.0078463,             0.97385,                0.11,             0.15612,             0.04953,            0.038554,            0.018175,           0.0065756,           0.0016393,           0.0016393,           0.0016393
                  32,            0.038261,            0.029887,           0.0082018,             0.96631,               0.105,             0.13934,            0.047499,            0.038234,            0.018319,           0.0065047,           0.0015826,           0.0015826,           0.0015826
                  33,              0.0393,            0.028432,           0.0082323,             0.94887,             0.10196,             0.14535,             0.05245,            0.038034,             0.01836,           0.0064635,           0.0015259,           0.0015259,           0.0015259
                  34,            0.038846,            0.033268,           0.0077312,             0.93522,               0.085,             0.11522,            0.039673,             0.03794,            0.018309,           0.0064393,           0.0014692,           0.0014692,           0.0014692
                  35,            0.038354,            0.030541,           0.0076439,             0.95677,             0.10882,             0.16136,            0.053829,            0.038067,            0.018281,           0.0065443,           0.0014125,           0.0014125,           0.0014125
                  36,            0.037178,            0.028667,           0.0077697,             0.94966,               0.105,             0.14235,            0.046042,            0.038237,            0.018263,           0.0065349,           0.0013559,           0.0013559,           0.0013559
                  37,            0.039002,            0.032696,           0.0076438,             0.95768,                0.11,             0.15521,            0.053519,            0.038034,            0.018302,           0.0065098,           0.0012992,           0.0012992,           0.0012992
                  38,            0.039212,            0.032588,           0.0077984,             0.96134,             0.10437,             0.15907,            0.058064,            0.037979,            0.018246,           0.0065209,           0.0012425,           0.0012425,           0.0012425
                  39,            0.037705,            0.032275,           0.0076543,             0.95821,                 0.1,             0.20214,            0.060581,             0.03793,            0.018226,           0.0065424,           0.0011858,           0.0011858,           0.0011858
                  40,            0.038174,            0.036805,           0.0076663,             0.95767,                 0.1,             0.16743,            0.056589,             0.03783,            0.018375,           0.0064469,           0.0011291,           0.0011291,           0.0011291
                  41,            0.037879,            0.027256,           0.0081042,             0.96587,            0.097261,             0.16375,            0.052911,            0.037769,             0.01835,           0.0064236,           0.0010724,           0.0010724,           0.0010724
                  42,            0.038165,             0.02963,           0.0068863,             0.95761,                 0.1,             0.17827,             0.05805,            0.037655,            0.018384,           0.0063795,           0.0010157,           0.0010157,           0.0010157
                  43,            0.037394,            0.028857,           0.0069974,             0.95403,                 0.1,             0.16321,            0.052624,            0.037651,             0.01824,           0.0063761,          0.00095903,          0.00095903,          0.00095903
                  44,            0.038509,            0.027623,           0.0074441,             0.95971,                 0.1,             0.15453,            0.051197,            0.037667,            0.018209,           0.0063762,          0.00090234,          0.00090234,          0.00090234
                  45,            0.038187,            0.028639,           0.0076392,             0.95809,                 0.1,             0.15971,            0.049247,             0.03761,            0.018278,           0.0063667,          0.00084565,          0.00084565,          0.00084565
                  46,            0.037464,            0.034044,           0.0071894,             0.95937,                 0.1,             0.15977,            0.050816,            0.037573,            0.018336,           0.0063558,          0.00078896,          0.00078896,          0.00078896
                  47,            0.038771,            0.039838,           0.0074685,             0.94668,               0.095,             0.14374,            0.047353,            0.037596,            0.018282,            0.006391,          0.00073227,          0.00073227,          0.00073227
                  48,             0.03796,            0.028801,            0.007187,             0.95309,               0.095,              0.1448,            0.048415,            0.037568,            0.018313,            0.006393,          0.00067558,          0.00067558,          0.00067558
                  49,             0.04048,            0.031372,           0.0080064,             0.96058,               0.095,             0.15593,             0.05199,            0.037497,            0.018377,           0.0064203,          0.00061889,          0.00061889,          0.00061889
